SPI-T-Class,SPI-TVT-Class,Transitions,Percentage,Scale
Moderately Wet,Near Normal,338238,2.28,12
Moderately Dry,Very Dry,118886,0.8,12
Near Normal,Moderately Dry,187458,1.26,12
Very Wet,Moderately Wet,194131,1.31,12
Extremely Wet,Very Wet,69319,0.47,12
Moderately Dry,Near Normal,364408,2.45,12
Moderately Wet,Very Wet,131879,0.89,12
Very Wet,Extremely Wet,49927,0.34,12
Near Normal,Moderately Wet,230128,1.55,12
Very Dry,Moderately Dry,193010,1.3,12
Extremely Dry,Very Dry,90055,0.61,12
Very Dry,Extremely Dry,46091,0.31,12
Extremely Dry,Moderately Dry,25206,0.17,12
Very Dry,Near Normal,23967,0.16,12
Moderately Dry,Extremely Dry,533,0,12
Near Normal,Very Dry,425,0,12
Near Normal,Very Wet,1249,0.01,12
Extremely Wet,Moderately Wet,3505,0.02,12
Very Wet,Near Normal,2813,0.02,12
Extremely Dry,Near Normal,247,0,12
Moderately Wet,Extremely Wet,893,0.01,12
Near Normal,Extremely Dry,2,0,12
