SPI-T-Class,SPI-TVT-Class,Transitions,Transitions (%),Scale,Distribution
Near Normal,Moderately Dry,554361,3.7,12,Gamma
Moderately Dry,Very Dry,275179,1.8,12,Gamma
Moderately Wet,Near Normal,931968,6.3,12,Gamma
Very Wet,Moderately Wet,412150,2.8,12,Gamma
Extremely Wet,Very Wet,128258,0.9,12,Gamma
Very Dry,Extremely Dry,110574,0.7,12,Gamma
Moderately Dry,Near Normal,4167,0,12,Gamma
Extremely Dry,Very Dry,24705,0.2,12,Gamma
Very Dry,Moderately Dry,18531,0.1,12,Gamma
Very Wet,Extremely Wet,4407,0,12,Gamma
Moderately Wet,Very Wet,6570,0,12,Gamma
Near Normal,Moderately Wet,6640,0,12,Gamma
Extremely Wet,Moderately Wet,20416,0.1,12,Gamma
Very Wet,Near Normal,42500,0.3,12,Gamma
Extremely Wet,Near Normal,41,0,12,Gamma
Moderately Wet,Near Normal,338238,2.3,12,NSGamma
Moderately Dry,Very Dry,118886,0.8,12,NSGamma
Near Normal,Moderately Dry,187458,1.3,12,NSGamma
Very Wet,Moderately Wet,194131,1.3,12,NSGamma
Extremely Wet,Very Wet,69319,0.5,12,NSGamma
Moderately Dry,Near Normal,364408,2.5,12,NSGamma
Moderately Wet,Very Wet,131879,0.9,12,NSGamma
Very Wet,Extremely Wet,49927,0.3,12,NSGamma
Near Normal,Moderately Wet,230128,1.6,12,NSGamma
Very Dry,Moderately Dry,193010,1.3,12,NSGamma
Extremely Dry,Very Dry,90055,0.6,12,NSGamma
Very Dry,Extremely Dry,46091,0.3,12,NSGamma
Extremely Dry,Moderately Dry,25206,0.2,12,NSGamma
Very Dry,Near Normal,23967,0.2,12,NSGamma
Moderately Dry,Extremely Dry,533,0,12,NSGamma
Near Normal,Very Dry,425,0,12,NSGamma
Near Normal,Very Wet,1249,0,12,NSGamma
Extremely Wet,Moderately Wet,3505,0,12,NSGamma
Very Wet,Near Normal,2813,0,12,NSGamma
Extremely Dry,Near Normal,247,0,12,NSGamma
Moderately Wet,Extremely Wet,893,0,12,NSGamma
Near Normal,Extremely Dry,2,0,12,NSGamma
